date,subbasin_id,groundwater_storage_mm,quality_status,source,synthetic_demo
2000-01-01,SB1,69.94,synthetic_demo,synthetic conceptual storage,True
2000-01-02,SB1,69.88,synthetic_demo,synthetic conceptual storage,True
2000-01-03,SB1,69.9802,synthetic_demo,synthetic conceptual storage,True
2000-01-04,SB1,69.9202,synthetic_demo,synthetic conceptual storage,True
2000-01-05,SB1,69.8602,synthetic_demo,synthetic conceptual storage,True
2000-01-06,SB1,69.8822,synthetic_demo,synthetic conceptual storage,True
2000-01-07,SB1,69.8222,synthetic_demo,synthetic conceptual storage,True
2000-01-08,SB1,69.7622,synthetic_demo,synthetic conceptual storage,True
2000-01-09,SB1,69.7022,synthetic_demo,synthetic conceptual storage,True
2000-01-10,SB1,69.6422,synthetic_demo,synthetic conceptual storage,True
2000-01-11,SB1,69.5822,synthetic_demo,synthetic conceptual storage,True
2000-01-12,SB1,69.5222,synthetic_demo,synthetic conceptual storage,True
2000-01-13,SB1,69.4622,synthetic_demo,synthetic conceptual storage,True
2000-01-14,SB1,69.4022,synthetic_demo,synthetic conceptual storage,True
2000-01-15,SB1,69.3422,synthetic_demo,synthetic conceptual storage,True
2000-01-16,SB1,69.8142,synthetic_demo,synthetic conceptual storage,True
2000-01-17,SB1,69.9366,synthetic_demo,synthetic conceptual storage,True
2000-01-18,SB1,69.8766,synthetic_demo,synthetic conceptual storage,True
2000-01-19,SB1,69.8166,synthetic_demo,synthetic conceptual storage,True
2000-01-20,SB1,69.7566,synthetic_demo,synthetic conceptual storage,True
2000-01-21,SB1,69.6966,synthetic_demo,synthetic conceptual storage,True
2000-01-22,SB1,69.6366,synthetic_demo,synthetic conceptual storage,True
2000-01-23,SB1,69.5766,synthetic_demo,synthetic conceptual storage,True
2000-01-24,SB1,69.5166,synthetic_demo,synthetic conceptual storage,True
2000-01-25,SB1,69.5991,synthetic_demo,synthetic conceptual storage,True
2000-01-26,SB1,69.5391,synthetic_demo,synthetic conceptual storage,True
2000-01-27,SB1,69.4791,synthetic_demo,synthetic conceptual storage,True
2000-01-28,SB1,69.4191,synthetic_demo,synthetic conceptual storage,True
2000-01-29,SB1,69.3591,synthetic_demo,synthetic conceptual storage,True
2000-01-30,SB1,69.2991,synthetic_demo,synthetic conceptual storage,True
2000-01-31,SB1,69.2391,synthetic_demo,synthetic conceptual storage,True
2000-02-01,SB1,69.1791,synthetic_demo,synthetic conceptual storage,True
2000-02-02,SB1,69.1191,synthetic_demo,synthetic conceptual storage,True
2000-02-03,SB1,69.0591,synthetic_demo,synthetic conceptual storage,True
2000-02-04,SB1,68.9991,synthetic_demo,synthetic conceptual storage,True
2000-02-05,SB1,68.9391,synthetic_demo,synthetic conceptual storage,True
2000-02-06,SB1,68.8791,synthetic_demo,synthetic conceptual storage,True
2000-02-07,SB1,68.8191,synthetic_demo,synthetic conceptual storage,True
2000-02-08,SB1,68.7591,synthetic_demo,synthetic conceptual storage,True
2000-02-09,SB1,68.6991,synthetic_demo,synthetic conceptual storage,True
2000-02-10,SB1,68.6391,synthetic_demo,synthetic conceptual storage,True
2000-02-11,SB1,68.7476,synthetic_demo,synthetic conceptual storage,True
2000-02-12,SB1,68.6876,synthetic_demo,synthetic conceptual storage,True
2000-02-13,SB1,68.6276,synthetic_demo,synthetic conceptual storage,True
2000-02-14,SB1,68.5676,synthetic_demo,synthetic conceptual storage,True
2000-02-15,SB1,68.5076,synthetic_demo,synthetic conceptual storage,True
2000-02-16,SB1,68.4476,synthetic_demo,synthetic conceptual storage,True
2000-02-17,SB1,68.3876,synthetic_demo,synthetic conceptual storage,True
2000-02-18,SB1,68.3276,synthetic_demo,synthetic conceptual storage,True
2000-02-19,SB1,68.2676,synthetic_demo,synthetic conceptual storage,True
2000-02-20,SB1,68.2076,synthetic_demo,synthetic conceptual storage,True
2000-02-21,SB1,68.1476,synthetic_demo,synthetic conceptual storage,True
2000-02-22,SB1,68.0876,synthetic_demo,synthetic conceptual storage,True
2000-02-23,SB1,68.0276,synthetic_demo,synthetic conceptual storage,True
2000-02-24,SB1,68.1257,synthetic_demo,synthetic conceptual storage,True
2000-02-25,SB1,68.0657,synthetic_demo,synthetic conceptual storage,True
2000-02-26,SB1,68.0057,synthetic_demo,synthetic conceptual storage,True
2000-02-27,SB1,67.9457,synthetic_demo,synthetic conceptual storage,True
2000-02-28,SB1,67.8857,synthetic_demo,synthetic conceptual storage,True
2000-02-29,SB1,67.8257,synthetic_demo,synthetic conceptual storage,True
2000-03-01,SB1,67.7657,synthetic_demo,synthetic conceptual storage,True
2000-03-02,SB1,68.1288,synthetic_demo,synthetic conceptual storage,True
2000-03-03,SB1,68.0688,synthetic_demo,synthetic conceptual storage,True
2000-03-04,SB1,68.0088,synthetic_demo,synthetic conceptual storage,True
2000-03-05,SB1,67.9488,synthetic_demo,synthetic conceptual storage,True
2000-03-06,SB1,67.8888,synthetic_demo,synthetic conceptual storage,True
2000-03-07,SB1,67.8288,synthetic_demo,synthetic conceptual storage,True
2000-03-08,SB1,67.7688,synthetic_demo,synthetic conceptual storage,True
2000-03-09,SB1,67.7088,synthetic_demo,synthetic conceptual storage,True
2000-03-10,SB1,67.6488,synthetic_demo,synthetic conceptual storage,True
2000-03-11,SB1,67.5888,synthetic_demo,synthetic conceptual storage,True
2000-03-12,SB1,67.5288,synthetic_demo,synthetic conceptual storage,True
2000-03-13,SB1,67.4688,synthetic_demo,synthetic conceptual storage,True
2000-03-14,SB1,67.4088,synthetic_demo,synthetic conceptual storage,True
2000-03-15,SB1,67.3488,synthetic_demo,synthetic conceptual storage,True
2000-03-16,SB1,67.2888,synthetic_demo,synthetic conceptual storage,True
2000-03-17,SB1,67.2288,synthetic_demo,synthetic conceptual storage,True
2000-03-18,SB1,67.1688,synthetic_demo,synthetic conceptual storage,True
2000-03-19,SB1,67.2713,synthetic_demo,synthetic conceptual storage,True
2000-03-20,SB1,67.2113,synthetic_demo,synthetic conceptual storage,True
2000-03-21,SB1,67.1513,synthetic_demo,synthetic conceptual storage,True
2000-03-22,SB1,67.0913,synthetic_demo,synthetic conceptual storage,True
2000-03-23,SB1,67.0313,synthetic_demo,synthetic conceptual storage,True
2000-03-24,SB1,66.9713,synthetic_demo,synthetic conceptual storage,True
2000-03-25,SB1,66.9113,synthetic_demo,synthetic conceptual storage,True
2000-03-26,SB1,66.8513,synthetic_demo,synthetic conceptual storage,True
2000-03-27,SB1,66.7913,synthetic_demo,synthetic conceptual storage,True
2000-03-28,SB1,66.9003,synthetic_demo,synthetic conceptual storage,True
2000-03-29,SB1,66.8403,synthetic_demo,synthetic conceptual storage,True
2000-03-30,SB1,66.7803,synthetic_demo,synthetic conceptual storage,True
2000-03-31,SB1,66.7203,synthetic_demo,synthetic conceptual storage,True
2000-04-01,SB1,66.6603,synthetic_demo,synthetic conceptual storage,True
2000-04-02,SB1,66.6003,synthetic_demo,synthetic conceptual storage,True
2000-04-03,SB1,66.5403,synthetic_demo,synthetic conceptual storage,True
2000-04-04,SB1,66.4803,synthetic_demo,synthetic conceptual storage,True
2000-04-05,SB1,66.4203,synthetic_demo,synthetic conceptual storage,True
2000-04-06,SB1,66.3603,synthetic_demo,synthetic conceptual storage,True
2000-04-07,SB1,66.3003,synthetic_demo,synthetic conceptual storage,True
2000-04-08,SB1,66.2403,synthetic_demo,synthetic conceptual storage,True
2000-04-09,SB1,66.1803,synthetic_demo,synthetic conceptual storage,True
2000-04-10,SB1,66.1203,synthetic_demo,synthetic conceptual storage,True
2000-04-11,SB1,66.0603,synthetic_demo,synthetic conceptual storage,True
2000-04-12,SB1,66.0003,synthetic_demo,synthetic conceptual storage,True
2000-04-13,SB1,65.9403,synthetic_demo,synthetic conceptual storage,True
2000-04-14,SB1,65.8803,synthetic_demo,synthetic conceptual storage,True
2000-04-15,SB1,65.8203,synthetic_demo,synthetic conceptual storage,True
2000-04-16,SB1,65.7603,synthetic_demo,synthetic conceptual storage,True
2000-04-17,SB1,65.7003,synthetic_demo,synthetic conceptual storage,True
2000-04-18,SB1,65.7618,synthetic_demo,synthetic conceptual storage,True
2000-04-19,SB1,66.6721,synthetic_demo,synthetic conceptual storage,True
2000-04-20,SB1,66.6121,synthetic_demo,synthetic conceptual storage,True
2000-04-21,SB1,66.5521,synthetic_demo,synthetic conceptual storage,True
2000-04-22,SB1,66.4921,synthetic_demo,synthetic conceptual storage,True
2000-04-23,SB1,66.4321,synthetic_demo,synthetic conceptual storage,True
2000-04-24,SB1,66.3721,synthetic_demo,synthetic conceptual storage,True
2000-04-25,SB1,66.3121,synthetic_demo,synthetic conceptual storage,True
2000-04-26,SB1,66.2521,synthetic_demo,synthetic conceptual storage,True
2000-04-27,SB1,66.1921,synthetic_demo,synthetic conceptual storage,True
2000-04-28,SB1,66.1321,synthetic_demo,synthetic conceptual storage,True
2000-04-29,SB1,66.0721,synthetic_demo,synthetic conceptual storage,True
2000-04-30,SB1,66.0121,synthetic_demo,synthetic conceptual storage,True
2000-05-01,SB1,65.9521,synthetic_demo,synthetic conceptual storage,True
2000-05-02,SB1,65.8921,synthetic_demo,synthetic conceptual storage,True
