date,reservoir_id,storage_m3,stage_m,quality_status,source,synthetic_demo
2000-01-01,R1,1999403.23,91.9994,synthetic_demo,synthetic reservoir response,True
2000-01-02,R1,1998817.11,91.9988,synthetic_demo,synthetic reservoir response,True
2000-01-03,R1,1998736.42,91.9987,synthetic_demo,synthetic reservoir response,True
2000-01-04,R1,1998549.42,91.9985,synthetic_demo,synthetic reservoir response,True
2000-01-05,R1,1998215.65,91.9982,synthetic_demo,synthetic reservoir response,True
2000-01-06,R1,1998019.13,91.998,synthetic_demo,synthetic reservoir response,True
2000-01-07,R1,1997799.71,91.9978,synthetic_demo,synthetic reservoir response,True
2000-01-08,R1,1997592.94,91.9976,synthetic_demo,synthetic reservoir response,True
2000-01-09,R1,1997249.98,91.9972,synthetic_demo,synthetic reservoir response,True
2000-01-10,R1,1996989.72,91.997,synthetic_demo,synthetic reservoir response,True
2000-01-11,R1,1996722.4,91.9967,synthetic_demo,synthetic reservoir response,True
2000-01-12,R1,1996384.05,91.9964,synthetic_demo,synthetic reservoir response,True
2000-01-13,R1,1995976.52,91.996,synthetic_demo,synthetic reservoir response,True
2000-01-14,R1,1995589.51,91.9956,synthetic_demo,synthetic reservoir response,True
2000-01-15,R1,1995130.97,91.9951,synthetic_demo,synthetic reservoir response,True
2000-01-16,R1,1995218.49,91.9952,synthetic_demo,synthetic reservoir response,True
2000-01-17,R1,1995240.34,91.9952,synthetic_demo,synthetic reservoir response,True
2000-01-18,R1,1995338.82,91.9953,synthetic_demo,synthetic reservoir response,True
2000-01-19,R1,1995413.21,91.9954,synthetic_demo,synthetic reservoir response,True
2000-01-20,R1,1995478.2,91.9955,synthetic_demo,synthetic reservoir response,True
2000-01-21,R1,1995504.63,91.9955,synthetic_demo,synthetic reservoir response,True
2000-01-22,R1,1995354.82,91.9954,synthetic_demo,synthetic reservoir response,True
2000-01-23,R1,1995292.36,91.9953,synthetic_demo,synthetic reservoir response,True
2000-01-24,R1,1995163.52,91.9952,synthetic_demo,synthetic reservoir response,True
2000-01-25,R1,1995122.54,91.9951,synthetic_demo,synthetic reservoir response,True
2000-01-26,R1,1995083.19,91.9951,synthetic_demo,synthetic reservoir response,True
2000-01-27,R1,1995045.2,91.995,synthetic_demo,synthetic reservoir response,True
2000-01-28,R1,1994994.87,91.995,synthetic_demo,synthetic reservoir response,True
2000-01-29,R1,1994936.79,91.9949,synthetic_demo,synthetic reservoir response,True
2000-01-30,R1,1994850.4,91.9949,synthetic_demo,synthetic reservoir response,True
2000-01-31,R1,1994774.17,91.9948,synthetic_demo,synthetic reservoir response,True
2000-02-01,R1,1994647.09,91.9946,synthetic_demo,synthetic reservoir response,True
2000-02-02,R1,1994565.52,91.9946,synthetic_demo,synthetic reservoir response,True
2000-02-03,R1,1994352.52,91.9944,synthetic_demo,synthetic reservoir response,True
2000-02-04,R1,1994217.18,91.9942,synthetic_demo,synthetic reservoir response,True
2000-02-05,R1,1994053.08,91.9941,synthetic_demo,synthetic reservoir response,True
2000-02-06,R1,1993904.93,91.9939,synthetic_demo,synthetic reservoir response,True
2000-02-07,R1,1993788.15,91.9938,synthetic_demo,synthetic reservoir response,True
2000-02-08,R1,1993615.94,91.9936,synthetic_demo,synthetic reservoir response,True
2000-02-09,R1,1993415.01,91.9934,synthetic_demo,synthetic reservoir response,True
2000-02-10,R1,1993180.45,91.9932,synthetic_demo,synthetic reservoir response,True
2000-02-11,R1,1993124.17,91.9931,synthetic_demo,synthetic reservoir response,True
2000-02-12,R1,1992908.51,91.9929,synthetic_demo,synthetic reservoir response,True
2000-02-13,R1,1992786.91,91.9928,synthetic_demo,synthetic reservoir response,True
