date,subbasin_id,streamflow_cms,quality_status,source,synthetic_demo
2000-01-01,OUTLET,0.01186,synthetic_demo,synthetic lagged rainfall response,True
2000-01-02,OUTLET,0.01432,synthetic_demo,synthetic lagged rainfall response,True
2000-01-03,OUTLET,0.13132,synthetic_demo,synthetic lagged rainfall response,True
2000-01-04,OUTLET,0.10671,synthetic_demo,synthetic lagged rainfall response,True
2000-01-05,OUTLET,0.07274,synthetic_demo,synthetic lagged rainfall response,True
2000-01-06,OUTLET,0.10451,synthetic_demo,synthetic lagged rainfall response,True
2000-01-07,OUTLET,0.09921,synthetic_demo,synthetic lagged rainfall response,True
2000-01-08,OUTLET,0.10214,synthetic_demo,synthetic lagged rainfall response,True
2000-01-09,OUTLET,0.07061,synthetic_demo,synthetic lagged rainfall response,True
2000-01-10,OUTLET,0.08975,synthetic_demo,synthetic lagged rainfall response,True
2000-01-11,OUTLET,0.08812,synthetic_demo,synthetic lagged rainfall response,True
2000-01-12,OUTLET,0.07168,synthetic_demo,synthetic lagged rainfall response,True
2000-01-13,OUTLET,0.05566,synthetic_demo,synthetic lagged rainfall response,True
2000-01-14,OUTLET,0.06041,synthetic_demo,synthetic lagged rainfall response,True
2000-01-15,OUTLET,0.04386,synthetic_demo,synthetic lagged rainfall response,True
2000-01-16,OUTLET,0.17026,synthetic_demo,synthetic lagged rainfall response,True
2000-01-17,OUTLET,0.15506,synthetic_demo,synthetic lagged rainfall response,True
2000-01-18,OUTLET,0.1728,synthetic_demo,synthetic lagged rainfall response,True
2000-01-19,OUTLET,0.16722,synthetic_demo,synthetic lagged rainfall response,True
2000-01-20,OUTLET,0.16505,synthetic_demo,synthetic lagged rainfall response,True
2000-01-21,OUTLET,0.15612,synthetic_demo,synthetic lagged rainfall response,True
2000-01-22,OUTLET,0.11532,synthetic_demo,synthetic lagged rainfall response,True
2000-01-23,OUTLET,0.13554,synthetic_demo,synthetic lagged rainfall response,True
2000-01-24,OUTLET,0.12018,synthetic_demo,synthetic lagged rainfall response,True
2000-01-25,OUTLET,0.14051,synthetic_demo,synthetic lagged rainfall response,True
2000-01-26,OUTLET,0.14089,synthetic_demo,synthetic lagged rainfall response,True
2000-01-27,OUTLET,0.14121,synthetic_demo,synthetic lagged rainfall response,True
2000-01-28,OUTLET,0.13835,synthetic_demo,synthetic lagged rainfall response,True
2000-01-29,OUTLET,0.13656,synthetic_demo,synthetic lagged rainfall response,True
2000-01-30,OUTLET,0.13,synthetic_demo,synthetic lagged rainfall response,True
2000-01-31,OUTLET,0.13235,synthetic_demo,synthetic lagged rainfall response,True
2000-02-01,OUTLET,0.12059,synthetic_demo,synthetic lagged rainfall response,True
2000-02-02,OUTLET,0.13112,synthetic_demo,synthetic lagged rainfall response,True
2000-02-03,OUTLET,0.10069,synthetic_demo,synthetic lagged rainfall response,True
2000-02-04,OUTLET,0.11867,synthetic_demo,synthetic lagged rainfall response,True
2000-02-05,OUTLET,0.11201,synthetic_demo,synthetic lagged rainfall response,True
2000-02-06,OUTLET,0.11571,synthetic_demo,synthetic lagged rainfall response,True
2000-02-07,OUTLET,0.12297,synthetic_demo,synthetic lagged rainfall response,True
2000-02-08,OUTLET,0.11014,synthetic_demo,synthetic lagged rainfall response,True
2000-02-09,OUTLET,0.10349,synthetic_demo,synthetic lagged rainfall response,True
2000-02-10,OUTLET,0.0957,synthetic_demo,synthetic lagged rainfall response,True
2000-02-11,OUTLET,0.13697,synthetic_demo,synthetic lagged rainfall response,True
2000-02-12,OUTLET,0.10008,synthetic_demo,synthetic lagged rainfall response,True
2000-02-13,OUTLET,0.12185,synthetic_demo,synthetic lagged rainfall response,True
2000-02-14,OUTLET,0.11678,synthetic_demo,synthetic lagged rainfall response,True
2000-02-15,OUTLET,0.11812,synthetic_demo,synthetic lagged rainfall response,True
2000-02-16,OUTLET,0.10707,synthetic_demo,synthetic lagged rainfall response,True
2000-02-17,OUTLET,0.12874,synthetic_demo,synthetic lagged rainfall response,True
2000-02-18,OUTLET,0.11599,synthetic_demo,synthetic lagged rainfall response,True
2000-02-19,OUTLET,0.09837,synthetic_demo,synthetic lagged rainfall response,True
2000-02-20,OUTLET,0.10712,synthetic_demo,synthetic lagged rainfall response,True
2000-02-21,OUTLET,0.10227,synthetic_demo,synthetic lagged rainfall response,True
2000-02-22,OUTLET,0.09086,synthetic_demo,synthetic lagged rainfall response,True
2000-02-23,OUTLET,0.11628,synthetic_demo,synthetic lagged rainfall response,True
2000-02-24,OUTLET,0.13368,synthetic_demo,synthetic lagged rainfall response,True
2000-02-25,OUTLET,0.10057,synthetic_demo,synthetic lagged rainfall response,True
2000-02-26,OUTLET,0.10568,synthetic_demo,synthetic lagged rainfall response,True
2000-02-27,OUTLET,0.11702,synthetic_demo,synthetic lagged rainfall response,True
2000-02-28,OUTLET,0.10835,synthetic_demo,synthetic lagged rainfall response,True
2000-02-29,OUTLET,0.12184,synthetic_demo,synthetic lagged rainfall response,True
2000-03-01,OUTLET,0.09503,synthetic_demo,synthetic lagged rainfall response,True
2000-03-02,OUTLET,0.09574,synthetic_demo,synthetic lagged rainfall response,True
2000-03-03,OUTLET,0.13026,synthetic_demo,synthetic lagged rainfall response,True
2000-03-04,OUTLET,0.10815,synthetic_demo,synthetic lagged rainfall response,True
2000-03-05,OUTLET,0.12138,synthetic_demo,synthetic lagged rainfall response,True
2000-03-06,OUTLET,0.12417,synthetic_demo,synthetic lagged rainfall response,True
2000-03-07,OUTLET,0.09986,synthetic_demo,synthetic lagged rainfall response,True
2000-03-08,OUTLET,0.10249,synthetic_demo,synthetic lagged rainfall response,True
2000-03-09,OUTLET,0.11894,synthetic_demo,synthetic lagged rainfall response,True
2000-03-10,OUTLET,0.11908,synthetic_demo,synthetic lagged rainfall response,True
2000-03-11,OUTLET,0.10932,synthetic_demo,synthetic lagged rainfall response,True
2000-03-12,OUTLET,0.12859,synthetic_demo,synthetic lagged rainfall response,True
2000-03-13,OUTLET,0.0971,synthetic_demo,synthetic lagged rainfall response,True
2000-03-14,OUTLET,0.11809,synthetic_demo,synthetic lagged rainfall response,True
2000-03-15,OUTLET,0.10357,synthetic_demo,synthetic lagged rainfall response,True
2000-03-16,OUTLET,0.08626,synthetic_demo,synthetic lagged rainfall response,True
2000-03-17,OUTLET,0.11939,synthetic_demo,synthetic lagged rainfall response,True
2000-03-18,OUTLET,0.10738,synthetic_demo,synthetic lagged rainfall response,True
2000-03-19,OUTLET,0.12874,synthetic_demo,synthetic lagged rainfall response,True
2000-03-20,OUTLET,0.10129,synthetic_demo,synthetic lagged rainfall response,True
2000-03-21,OUTLET,0.12436,synthetic_demo,synthetic lagged rainfall response,True
2000-03-22,OUTLET,0.10637,synthetic_demo,synthetic lagged rainfall response,True
2000-03-23,OUTLET,0.10291,synthetic_demo,synthetic lagged rainfall response,True
2000-03-24,OUTLET,0.12791,synthetic_demo,synthetic lagged rainfall response,True
2000-03-25,OUTLET,0.12236,synthetic_demo,synthetic lagged rainfall response,True
2000-03-26,OUTLET,0.12531,synthetic_demo,synthetic lagged rainfall response,True
2000-03-27,OUTLET,0.12054,synthetic_demo,synthetic lagged rainfall response,True
2000-03-28,OUTLET,0.12679,synthetic_demo,synthetic lagged rainfall response,True
2000-03-29,OUTLET,0.15074,synthetic_demo,synthetic lagged rainfall response,True
2000-03-30,OUTLET,0.13673,synthetic_demo,synthetic lagged rainfall response,True
2000-03-31,OUTLET,0.11344,synthetic_demo,synthetic lagged rainfall response,True
2000-04-01,OUTLET,0.13153,synthetic_demo,synthetic lagged rainfall response,True
2000-04-02,OUTLET,0.1246,synthetic_demo,synthetic lagged rainfall response,True
2000-04-03,OUTLET,0.13181,synthetic_demo,synthetic lagged rainfall response,True
2000-04-04,OUTLET,0.11191,synthetic_demo,synthetic lagged rainfall response,True
2000-04-05,OUTLET,0.12237,synthetic_demo,synthetic lagged rainfall response,True
2000-04-06,OUTLET,0.13065,synthetic_demo,synthetic lagged rainfall response,True
2000-04-07,OUTLET,0.11667,synthetic_demo,synthetic lagged rainfall response,True
2000-04-08,OUTLET,0.15148,synthetic_demo,synthetic lagged rainfall response,True
2000-04-09,OUTLET,0.11847,synthetic_demo,synthetic lagged rainfall response,True
2000-04-10,OUTLET,0.11505,synthetic_demo,synthetic lagged rainfall response,True
2000-04-11,OUTLET,0.11503,synthetic_demo,synthetic lagged rainfall response,True
2000-04-12,OUTLET,0.11253,synthetic_demo,synthetic lagged rainfall response,True
2000-04-13,OUTLET,0.12479,synthetic_demo,synthetic lagged rainfall response,True
2000-04-14,OUTLET,0.11035,synthetic_demo,synthetic lagged rainfall response,True
2000-04-15,OUTLET,0.10334,synthetic_demo,synthetic lagged rainfall response,True
2000-04-16,OUTLET,0.10315,synthetic_demo,synthetic lagged rainfall response,True
2000-04-17,OUTLET,0.1204,synthetic_demo,synthetic lagged rainfall response,True
2000-04-18,OUTLET,0.09681,synthetic_demo,synthetic lagged rainfall response,True
2000-04-19,OUTLET,0.16012,synthetic_demo,synthetic lagged rainfall response,True
2000-04-20,OUTLET,0.17939,synthetic_demo,synthetic lagged rainfall response,True
2000-04-21,OUTLET,0.17628,synthetic_demo,synthetic lagged rainfall response,True
2000-04-22,OUTLET,0.17551,synthetic_demo,synthetic lagged rainfall response,True
2000-04-23,OUTLET,0.17731,synthetic_demo,synthetic lagged rainfall response,True
